TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
3584,0.8,Blue,0.1242,,,Dark Brown,0.1352,Sunglasses,0.0352,Grin Diamond Grill,0.0078,Wool Turtleneck,0.024,Beanie,0.0578,Wrapped Ether,1.0,2021-05-01 08:23:07.457600,3275.4880000000003,8.094222144602405,-1
6013,0.065,Blue,0.1242,,,Brown,0.137,Bloodshot,0.0846,Bored,0.2272,Service,0.0142,,,Ether,1.0,2021-05-01 08:23:54.240690,267.58160000000004,5.58942456654774,1
4234,0.15,Blue,0.1242,,,Zombie,0.0302,Crazy,0.0407,Jovial,0.0296,Vietnam Jacket,0.0224,Sea Captain's Hat,0.0304,Ether,1.0,2021-05-01 08:26:34.238711,614.2425,6.420389801314536,1
1842,1.0,New Punk Blue,0.1232,Silver Hoop,0.0882,Robot,0.0265,Bloodshot,0.0846,Bored Pipe,0.0132,Bone Necklace,0.0203,,,Wrapped Ether,1.0,2021-05-01 08:26:59.290346,4094.36,8.317365695916616,-1
1170,0.07,Purple,0.1291,,,Dark Brown,0.1352,Closed,0.071,Bored Unshaven,0.1551,,,Sushi Chef Headband,0.0187,Ether,1.0,2021-05-01 08:32:53.564833,286.6465,5.658249749267639,1
9204,0.06,Purple,0.1291,Silver Stud,0.0823,Tan,0.0626,Sleepy,0.0751,Jovial,0.0296,Tuxedo Tee,0.0235,,,Ether,1.0,2021-05-01 08:37:33.108542,246.6066,5.507794354362362,1
8808,0.15,Aquamarine,0.1266,Gold Stud,0.0439,Dmt,0.0215,Wide Eyed,0.0549,Dumbfounded,0.0505,Wool Turtleneck,0.024,Beanie,0.0578,Ether,1.0,2021-05-01 08:41:45.765663,616.5165,6.424085086236517,1
5556,0.1,Orange,0.1273,,,Cream,0.0636,Sad,0.0551,Phoneme Vuh,0.0333,Leather Jacket,0.0206,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 08:44:42.264529,411.664,6.020207482640194,1
7770,0.15,Aquamarine,0.1266,,,Cream,0.0636,Bored,0.1714,Bored,0.2272,Tie Dye,0.0144,Beanie,0.0578,Ether,1.0,2021-05-01 08:45:11.902479,617.496,6.425672590748358,1
6732,0.11,Purple,0.1291,,,Red,0.0474,Wide Eyed,0.0549,Bored,0.2272,Bayc T Red,0.014,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 08:48:03.310093,452.83040000000005,6.115517662444518,1
